country,countrycode,year,pop,urbanpop,urbanpopper,emission,emission1996,emissionpc,emissionpc1996,gdp,gdpmil,gdp1996,gdppc,gdppc1996,gdpgrowth,decoup,consume,eneuse,consumeep,consumeff,consumere,co2inten,epdtloss,manuperc,manuexp,polity,ETS,carbontax
Austria,AUT,1996,7959017.00 ,5237033.00 ,65.80 ,84.51 ,1.00 ,10.62 ,1.00 ,298000000000.00 ,297759.97 ,1.00 ,37441.81 ,1.00 ,2.40,283.83 ,21048.33 ,3580.42 ,6607.22 ,78.20 ,24.04 ,2.22 ,6.06 ,19.72 ,87.67 ,10,0 ,0 
Austria,AUT,1997,7968041.00 ,5242971.00 ,65.80 ,84.04 ,0.99 ,10.55 ,0.99 ,304000000000.00 ,304325.64 ,1.02 ,38152.41 ,1.02 ,2.21,276.14 ,21121.82 ,3550.40 ,6620.45 ,78.42 ,24.87 ,2.21 ,5.72 ,19.99 ,87.93 ,10,0 ,0 
Austria,AUT,1998,7976789.00 ,5248727.00 ,65.80 ,83.39 ,0.99 ,10.45 ,0.98 ,315000000000.00 ,315159.53 ,1.06 ,39489.57 ,1.05 ,3.56,264.58 ,21712.71 ,3606.61 ,6706.71 ,78.52 ,24.41 ,2.21 ,5.97 ,19.88 ,88.35 ,10,0 ,0 
Austria,AUT,1999,7992324.00 ,5258949.00 ,65.80 ,81.73 ,0.97 ,10.23 ,0.96 ,326000000000.00 ,326473.72 ,1.10 ,40789.14 ,1.09 ,3.59,250.34 ,22183.43 ,3591.81 ,6972.19 ,76.61 ,26.44 ,2.16 ,5.54 ,20.13 ,87.49 ,10,0 ,0 
Austria,AUT,2000,8011566.00 ,5271610.00 ,65.80 ,82.25 ,0.97 ,10.27 ,0.97 ,337000000000.00 ,337470.68 ,1.13 ,42064.19 ,1.12 ,3.37,243.72 ,22813.97 ,3570.50 ,7076.27 ,76.54 ,26.39 ,2.18 ,5.34 ,20.41 ,79.79 ,10,0 ,0 
Austria,AUT,2001,8042293.00 ,5291909.00 ,65.80 ,86.25 ,1.02 ,10.72 ,1.01 ,342000000000.00 ,342028.28 ,1.15 ,42525.19 ,1.14 ,1.35,252.18 ,23020.92 ,3758.46 ,7333.23 ,76.90 ,25.48 ,2.18 ,6.04 ,20.52 ,79.39 ,10,0 ,0 
Austria,AUT,2002,8081957.00 ,5318413.00 ,65.81 ,87.81 ,1.04 ,10.86 ,1.02 ,348000000000.00 ,347691.77 ,1.17 ,43058.88 ,1.15 ,1.66,252.55 ,23080.32 ,3773.65 ,7427.66 ,77.38 ,24.68 ,2.20 ,5.22 ,19.86 ,79.80 ,10,0 ,0 
Austria,AUT,2003,8121423.00 ,5344871.00 ,65.81 ,93.38 ,1.10 ,11.50 ,1.08 ,350000000000.00 ,350320.86 ,1.18 ,43095.90 ,1.15 ,0.76,266.54 ,23365.29 ,3973.62 ,7695.08 ,78.58 ,22.58 ,2.24 ,5.67 ,19.53 ,82.32 ,10,0 ,0 
Austria,AUT,2004,8171966.00 ,5378625.00 ,65.82 ,93.42 ,1.11 ,11.43 ,1.08 ,360000000000.00 ,359799.65 ,1.21 ,44053.05 ,1.18 ,2.71,259.64 ,23761.86 ,4007.57 ,7808.16 ,78.00 ,23.22 ,2.21 ,5.53 ,19.44 ,82.23 ,10,0 ,0 
Austria,AUT,2005,8227829.00 ,5415886.00 ,65.82 ,94.62 ,1.12 ,11.50 ,1.08 ,368000000000.00 ,367501.82 ,1.23 ,44726.26 ,1.19 ,2.14,257.47 ,24108.88 ,4085.57 ,7977.68 ,77.21 ,24.17 ,2.21 ,5.36 ,19.58 ,80.59 ,10,1 ,0 
Austria,AUT,2006,8268641.00 ,5443164.00 ,65.83 ,91.87 ,1.09 ,11.11 ,1.05 ,380000000000.00 ,379816.18 ,1.28 ,45956.77 ,1.23 ,3.35,241.87 ,24499.82 ,4078.81 ,8244.40 ,74.92 ,26.25 ,2.14 ,5.12 ,19.97 ,80.24 ,10,1 ,0 
Austria,AUT,2007,8295487.00 ,5461334.00 ,65.84 ,89.27 ,1.06 ,10.76 ,1.01 ,394000000000.00 ,393571.26 ,1.32 ,47495.70 ,1.27 ,3.62,226.82 ,24677.82 ,4019.59 ,8207.47 ,72.87 ,28.60 ,2.09 ,5.26 ,20.33 ,82.37 ,10,1 ,0 
Austria,AUT,2008,8321496.00 ,5478956.00 ,65.84 ,89.13 ,1.05 ,10.71 ,1.01 ,400000000000.00 ,399660.85 ,1.34 ,48068.28 ,1.28 ,1.55,223.01 ,24808.61 ,4032.15 ,8233.01 ,71.77 ,29.36 ,2.06 ,5.00 ,19.50 ,81.20 ,10,1 ,0 
Austria,AUT,2009,8343323.00 ,5493828.00 ,65.85 ,82.16 ,0.97 ,9.85 ,0.93 ,384000000000.00 ,384477.43 ,1.29 ,46024.83 ,1.23 ,-3.80,213.70 ,24885.99 ,3798.15 ,7944.80 ,69.78 ,30.51 ,1.98 ,5.40 ,18.36 ,80.56 ,10,1 ,0 
Austria,AUT,2010,8363404.00 ,5507469.00 ,65.85 ,87.13 ,1.03 ,10.42 ,0.98 ,392000000000.00 ,391892.75 ,1.32 ,46870.87 ,1.25 ,1.93,222.33 ,25069.95 ,4051.20 ,8382.71 ,70.21 ,30.66 ,1.99 ,4.93 ,18.50 ,80.29 ,10,1 ,0 
Austria,AUT,2011,8391643.00 ,5526568.00 ,65.86 ,84.89 ,1.00 ,10.12 ,0.95 ,403000000000.00 ,403346.98 ,1.35 ,48023.97 ,1.28 ,2.92,210.46 ,25321.66 ,3921.90 ,8425.17 ,69.11 ,30.99 ,1.98 ,5.31 ,18.62 ,80.06 ,10,1 ,0 
Austria,AUT,2012,8429991.00 ,5552329.00 ,65.86 ,82.13 ,0.97 ,9.74 ,0.92 ,406000000000.00 ,406091.53 ,1.36 ,48161.38 ,1.29 ,0.68,202.25 ,25338.03 ,3886.77 ,8548.88 ,67.26 ,33.43 ,1.90 ,4.89 ,18.77 ,79.93 ,10,1 ,0 
Austria,AUT,2013,8479823.00 ,5586847.00 ,65.88 ,82.15 ,0.97 ,9.69 ,0.91 ,406000000000.00 ,406195.10 ,1.36 ,47878.36 ,1.28 ,0.03,202.24 ,25170.56 ,3919.25 ,8510.06 ,66.21 ,34.68 ,1.88 ,5.25 ,18.51 ,81.21 ,10,1 ,0 
Austria,AUT,2014,8546356.00 ,5633672.00 ,65.92 ,78.38 ,0.93 ,9.17 ,0.86 ,410000000000.00 ,409561.38 ,1.38 ,47973.66 ,1.28 ,0.83,191.37 ,25060.44 ,3765.43 ,8360.52 ,64.90 ,35.39 ,1.83 ,5.33 ,18.57 ,82.22 ,10,1 ,0 
Belgium,BEL,1996,10156637.00 ,9836805.00 ,96.85 ,161.39 ,1.00 ,15.89 ,1.00 ,363000000000.00 ,362793.15 ,1.00 ,35740.18 ,1.00 ,1.59,444.87 ,19888.73 ,5536.47 ,7527.69 ,77.64 ,1.18 ,2.10 ,5.10 ,20.30 ,77.11 ,10,0 ,0 
Belgium,BEL,1997,10181245.00 ,9868070.00 ,96.92 ,153.14 ,0.95 ,15.04 ,0.95 ,376000000000.00 ,376254.39 ,1.04 ,36930.65 ,1.03 ,3.71,407.02 ,20195.20 ,5523.46 ,7701.61 ,75.90 ,1.15 ,2.05 ,4.74 ,20.61 ,76.72 ,10,0 ,0 
Belgium,BEL,1998,10203008.00 ,9896510.00 ,97.00 ,158.77 ,0.98 ,15.56 ,0.98 ,384000000000.00 ,383686.44 ,1.06 ,37635.96 ,1.05 ,1.98,413.81 ,20700.35 ,5603.16 ,7913.06 ,77.05 ,1.29 ,2.07 ,4.68 ,20.36 ,82.10 ,10,0 ,0 
Belgium,BEL,1999,10226419.00 ,9926274.00 ,97.07 ,152.96 ,0.95 ,14.96 ,0.94 ,397000000000.00 ,397358.39 ,1.10 ,38821.02 ,1.09 ,3.56,384.95 ,20999.11 ,5612.71 ,7944.13 ,75.79 ,1.40 ,1.99 ,4.95 ,19.49 ,82.24 ,10,0 ,0 
Belgium,BEL,2000,10251250.00 ,9956834.00 ,97.13 ,154.19 ,0.96 ,15.04 ,0.95 ,412000000000.00 ,411797.01 ,1.14 ,40190.22 ,1.12 ,3.63,374.44 ,21556.45 ,5669.36 ,8247.68 ,75.91 ,1.45 ,1.98 ,4.58 ,19.56 ,78.07 ,10,0 ,0 
Belgium,BEL,2001,10286570.00 ,9996900.00 ,97.18 ,152.13 ,0.94 ,14.79 ,0.93 ,415000000000.00 ,415138.92 ,1.14 ,40343.87 ,1.13 ,0.81,366.46 ,21700.27 ,5634.22 ,8267.19 ,75.68 ,1.58 ,1.98 ,4.94 ,18.96 ,78.88 ,10,0 ,0 
Belgium,BEL,2002,10332785.00 ,10047497.00 ,97.24 ,150.99 ,0.94 ,14.61 ,0.92 ,423000000000.00 ,422530.49 ,1.16 ,40937.66 ,1.15 ,1.78,357.35 ,21689.11 ,5390.72 ,8311.89 ,74.52 ,1.69 ,1.93 ,4.66 ,18.71 ,80.38 ,10,0 ,0 
Belgium,BEL,2003,10376133.00 ,10095147.00 ,97.29 ,151.63 ,0.94 ,14.61 ,0.92 ,426000000000.00 ,425803.28 ,1.17 ,41055.76 ,1.15 ,0.77,356.09 ,21710.16 ,5590.03 ,8411.90 ,75.28 ,1.89 ,1.95 ,4.50 ,17.94 ,79.74 ,10,0 ,0 
Belgium,BEL,2004,10421137.00 ,10144456.00 ,97.35 ,152.90 ,0.95 ,14.67 ,0.92 ,441000000000.00 ,441279.87 ,1.22 ,42317.84 ,1.18 ,3.63,346.50 ,21953.63 ,5592.99 ,8576.22 ,75.07 ,2.02 ,1.91 ,4.80 ,17.89 ,79.65 ,10,0 ,0 
Belgium,BEL,2005,10478617.00 ,10205859.00 ,97.40 ,148.68 ,0.92 ,14.19 ,0.89 ,451000000000.00 ,450521.47 ,1.24 ,43040.03 ,1.20 ,2.09,330.02 ,22101.75 ,5555.62 ,8510.00 ,74.79 ,2.47 ,1.86 ,4.85 ,17.64 ,78.70 ,10,1 ,0 
Belgium,BEL,2006,10547958.00 ,10278774.00 ,97.45 ,146.28 ,0.91 ,13.87 ,0.87 ,462000000000.00 ,461812.17 ,1.27 ,43799.95 ,1.23 ,2.51,316.75 ,22279.35 ,5470.49 ,8683.67 ,73.90 ,2.83 ,1.86 ,4.95 ,17.00 ,77.09 ,10,1 ,0 
Belgium,BEL,2007,10625700.00 ,10359739.00 ,97.50 ,142.84 ,0.89 ,13.44 ,0.85 ,478000000000.00 ,477739.95 ,1.32 ,44985.27 ,1.26 ,3.45,298.99 ,22526.24 ,5336.96 ,8614.68 ,72.63 ,3.33 ,1.83 ,4.64 ,16.90 ,77.72 ,8,1 ,0 
Belgium,BEL,2008,10709973.00 ,10447150.00 ,97.55 ,143.15 ,0.89 ,13.37 ,0.84 ,481000000000.00 ,481481.48 ,1.33 ,44911.41 ,1.26 ,0.78,297.32 ,22727.84 ,5454.67 ,8521.50 ,73.45 ,3.91 ,1.79 ,5.10 ,15.87 ,75.25 ,8,1 ,0 
Belgium,BEL,2009,10796493.00 ,10536729.00 ,97.59 ,129.91 ,0.80 ,12.03 ,0.76 ,471000000000.00 ,470632.86 ,1.30 ,43625.28 ,1.22 ,-2.25,276.04 ,22656.81 ,5196.58 ,7903.96 ,72.77 ,4.83 ,1.78 ,4.53 ,14.28 ,76.59 ,8,1 ,0 
